section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
f04c7b44-5076-4f28-a28d-7b7863f63221,b2345e8e-d5d9-49fe-a6bc-2a04432a24e5,1,1685088815215022015,1685088815422970015,207
f04c7b44-5076-4f28-a28d-7b7863f63221,b2345e8e-d5d9-49fe-a6bc-2a04432a24e5,2,1685088815431017015,1685088815771162015,340
